2026-04-01 09:37:19:  Start checking... 
2026-04-01 09:41:11: mail-abuse.blacklist.jippg.org -----------------------------  √
2026-04-01 09:41:13: netbl.spameatingmonkey.net -----------------------------  √
2026-04-01 09:41:15: netscan.rbl.blockedservers.com -----------------------------  √
2026-04-01 09:41:18: no-more-funn.moensted.dk -----------------------------  √
2026-04-01 09:41:20: noptr.spamrats.com -----------------------------  √
2026-04-01 09:41:26: orvedb.aupads.org -----------------------------  √
2026-04-01 09:41:36: pbl.spamhaus.org -----------------------------  √
2026-04-01 09:41:38: phishing.rbl.msrbl.net -----------------------------  √
2026-04-01 09:41:41: pofon.foobar.hu -----------------------------  √
2026-04-01 09:41:43: psbl.surriel.com -----------------------------  √
2026-04-01 09:41:45: rbl.abuse.ro -----------------------------  √
2026-04-01 09:41:47: rbl.blockedservers.com -----------------------------  √
2026-04-01 09:41:50: rbl.dns-servicios.com -----------------------------  √
2026-04-01 09:41:52: rbl.efnet.org -----------------------------  √
2026-04-01 09:41:54: rbl.efnetrbl.org -----------------------------  √
2026-04-01 09:41:56: rbl.iprange.net -----------------------------  √
2026-04-01 09:41:58: rbl.schulte.org -----------------------------  √
2026-04-01 09:42:00: rbl.talkactive.net -----------------------------  √
2026-04-01 09:42:03: rbl2.triumf.ca -----------------------------  √
2026-04-01 09:42:05: rsbl.aupads.org -----------------------------  √
2026-04-01 09:42:15: sbl-xbl.spamhaus.org -----------------------------  √
2026-04-01 09:42:17: sbl.nszones.com -----------------------------  √
2026-04-01 09:42:20: sbl.spamhaus.org -----------------------------  √
2026-04-01 09:42:22: short.rbl.jp -----------------------------  √
2026-04-01 09:42:24: spam.dnsbl.anonmails.de -----------------------------  √
2026-04-01 09:42:26: spam.pedantic.org -----------------------------  √
2026-04-01 09:42:28: spam.rbl.blockedservers.com -----------------------------  √
2026-04-01 09:42:31: spam.rbl.msrbl.net -----------------------------  √
2026-04-01 09:42:33: spam.spamrats.com -----------------------------  √
2026-04-01 09:42:39: spamrbl.imp.ch -----------------------------  √
2026-04-01 09:42:42: spamsources.fabel.dk -----------------------------  √
2026-04-01 09:42:44: st.technovision.dk -----------------------------  √
2026-04-01 09:42:46: tor.dan.me.uk -----------------------------  √
2026-04-01 09:42:48: tor.dnsbl.sectoor.de -----------------------------  √
2026-04-01 09:42:55: tor.efnet.org -----------------------------  √
2026-04-01 09:42:58: torexit.dan.me.uk -----------------------------  √
2026-04-01 09:43:00: truncate.gbudb.net -----------------------------  √
2026-04-01 09:43:02: ubl.unsubscore.com -----------------------------  √
2026-04-01 09:43:04: uribl.spameatingmonkey.net -----------------------------  √
2026-04-01 09:43:07: urired.spameatingmonkey.net -----------------------------  √
2026-04-01 09:43:09: virbl.dnsbl.bit.nl -----------------------------  √
2026-04-01 09:43:11: virus.rbl.jp -----------------------------  √
2026-04-01 09:43:13: virus.rbl.msrbl.net -----------------------------  √
2026-04-01 09:43:15: vote.drbl.caravan.ru -----------------------------  √
2026-04-01 09:43:18: vote.drbl.gremlin.ru ----------------------------- x   blacklisted (127.0.0.2)
2026-04-01 09:43:18: web.rbl.msrbl.net -----------------------------  √
2026-04-01 09:43:20: work.drbl.caravan.ru -----------------------------  √
2026-04-01 09:43:23: work.drbl.gremlin.ru ----------------------------- x   blacklisted (127.0.0.2)
2026-04-01 09:43:23: wormrbl.imp.ch -----------------------------  √
2026-04-01 09:43:25: xbl.spamhaus.org -----------------------------  √
2026-04-01 09:43:27: zen.spamhaus.org -----------------------------  √
---------------------------------------------------------------------------------------  
Results for mail.moescalesystem.shop: 
Ip: 66.55.64.133 
Tested: 144 
Passed: 136 
Invalid: 5 
Blacklisted: 3 
---------------------------------------------------------------------------------------   
2026-04-01 09:43:29:  Check finished
