2026-03-30 05:05:22:  Start checking... 
2026-03-30 05:09:32: mail-abuse.blacklist.jippg.org -----------------------------  √
2026-03-30 05:09:35: netbl.spameatingmonkey.net -----------------------------  √
2026-03-30 05:09:37: netscan.rbl.blockedservers.com -----------------------------  √
2026-03-30 05:09:39: no-more-funn.moensted.dk -----------------------------  √
2026-03-30 05:09:41: noptr.spamrats.com -----------------------------  √
2026-03-30 05:09:47: orvedb.aupads.org -----------------------------  √
2026-03-30 05:09:58: pbl.spamhaus.org -----------------------------  √
2026-03-30 05:10:00: phishing.rbl.msrbl.net -----------------------------  √
2026-03-30 05:10:02: pofon.foobar.hu -----------------------------  √
2026-03-30 05:10:04: psbl.surriel.com -----------------------------  √
2026-03-30 05:10:07: rbl.abuse.ro -----------------------------  √
2026-03-30 05:10:09: rbl.blockedservers.com -----------------------------  √
2026-03-30 05:10:11: rbl.dns-servicios.com -----------------------------  √
2026-03-30 05:10:13: rbl.efnet.org -----------------------------  √
2026-03-30 05:10:16: rbl.efnetrbl.org -----------------------------  √
2026-03-30 05:10:18: rbl.iprange.net -----------------------------  √
2026-03-30 05:10:20: rbl.schulte.org -----------------------------  √
2026-03-30 05:10:22: rbl.talkactive.net -----------------------------  √
2026-03-30 05:10:24: rbl2.triumf.ca -----------------------------  √
2026-03-30 05:10:27: rsbl.aupads.org -----------------------------  √
2026-03-30 05:10:37: sbl-xbl.spamhaus.org -----------------------------  √
2026-03-30 05:10:39: sbl.nszones.com ----------------------------- x   blacklisted (127.0.0.2)
2026-03-30 05:10:39: sbl.spamhaus.org -----------------------------  √
2026-03-30 05:10:41: short.rbl.jp -----------------------------  √
2026-03-30 05:10:43: spam.dnsbl.anonmails.de -----------------------------  √
2026-03-30 05:10:45: spam.pedantic.org -----------------------------  √
2026-03-30 05:10:47: spam.rbl.blockedservers.com -----------------------------  √
2026-03-30 05:10:50: spam.rbl.msrbl.net -----------------------------  √
2026-03-30 05:10:52: spam.spamrats.com -----------------------------  √
2026-03-30 05:10:58: spamrbl.imp.ch -----------------------------  √
2026-03-30 05:11:01: spamsources.fabel.dk -----------------------------  √
2026-03-30 05:11:03: st.technovision.dk -----------------------------  √
2026-03-30 05:11:05: tor.dan.me.uk -----------------------------  √
2026-03-30 05:11:08: tor.dnsbl.sectoor.de -----------------------------  √
2026-03-30 05:11:15: tor.efnet.org -----------------------------  √
2026-03-30 05:11:17: torexit.dan.me.uk -----------------------------  √
2026-03-30 05:11:20: truncate.gbudb.net -----------------------------  √
2026-03-30 05:11:22: ubl.unsubscore.com -----------------------------  √
2026-03-30 05:11:24: uribl.spameatingmonkey.net -----------------------------  √
2026-03-30 05:11:26: urired.spameatingmonkey.net -----------------------------  √
2026-03-30 05:11:28: virbl.dnsbl.bit.nl -----------------------------  √
2026-03-30 05:11:30: virus.rbl.jp -----------------------------  √
2026-03-30 05:11:32: virus.rbl.msrbl.net -----------------------------  √
2026-03-30 05:11:35: vote.drbl.caravan.ru -----------------------------  √
2026-03-30 05:11:37: vote.drbl.gremlin.ru -----------------------------  √
2026-03-30 05:11:39: web.rbl.msrbl.net -----------------------------  √
2026-03-30 05:11:42: work.drbl.caravan.ru -----------------------------  √
2026-03-30 05:11:44: work.drbl.gremlin.ru -----------------------------  √
2026-03-30 05:11:46: wormrbl.imp.ch -----------------------------  √
2026-03-30 05:11:49: xbl.spamhaus.org -----------------------------  √
2026-03-30 05:11:51: zen.spamhaus.org -----------------------------  √
---------------------------------------------------------------------------------------  
Results for mail.moescaleb2b.site: 
Ip: 85.121.241.162 
Tested: 144 
Passed: 141 
Invalid: 0 
Blacklisted: 3 
---------------------------------------------------------------------------------------   
2026-03-30 05:11:53:  Check finished
