2026-04-01 11:34:15:  Start checking... 
2026-04-01 11:38:02: mail-abuse.blacklist.jippg.org -----------------------------  √
2026-04-01 11:38:04: netbl.spameatingmonkey.net -----------------------------  √
2026-04-01 11:38:06: netscan.rbl.blockedservers.com -----------------------------  √
2026-04-01 11:38:09: no-more-funn.moensted.dk -----------------------------  √
2026-04-01 11:38:11: noptr.spamrats.com -----------------------------  √
2026-04-01 11:38:17: orvedb.aupads.org -----------------------------  √
2026-04-01 11:38:27: pbl.spamhaus.org -----------------------------  √
2026-04-01 11:38:29: phishing.rbl.msrbl.net -----------------------------  √
2026-04-01 11:38:31: pofon.foobar.hu -----------------------------  √
2026-04-01 11:38:34: psbl.surriel.com -----------------------------  √
2026-04-01 11:38:36: rbl.abuse.ro -----------------------------  √
2026-04-01 11:38:39: rbl.blockedservers.com -----------------------------  √
2026-04-01 11:38:41: rbl.dns-servicios.com -----------------------------  √
2026-04-01 11:38:44: rbl.efnet.org -----------------------------  √
2026-04-01 11:38:46: rbl.efnetrbl.org -----------------------------  √
2026-04-01 11:38:48: rbl.iprange.net -----------------------------  √
2026-04-01 11:38:50: rbl.schulte.org -----------------------------  √
2026-04-01 11:38:52: rbl.talkactive.net -----------------------------  √
2026-04-01 11:38:54: rbl2.triumf.ca -----------------------------  √
2026-04-01 11:38:56: rsbl.aupads.org -----------------------------  √
2026-04-01 11:39:07: sbl-xbl.spamhaus.org -----------------------------  √
2026-04-01 11:39:09: sbl.nszones.com -----------------------------  √
2026-04-01 11:39:11: sbl.spamhaus.org -----------------------------  √
2026-04-01 11:39:13: short.rbl.jp -----------------------------  √
2026-04-01 11:39:15: spam.dnsbl.anonmails.de -----------------------------  √
2026-04-01 11:39:17: spam.pedantic.org -----------------------------  √
2026-04-01 11:39:19: spam.rbl.blockedservers.com -----------------------------  √
2026-04-01 11:39:21: spam.rbl.msrbl.net -----------------------------  √
2026-04-01 11:39:24: spam.spamrats.com -----------------------------  √
2026-04-01 11:39:30: spamrbl.imp.ch -----------------------------  √
2026-04-01 11:39:32: spamsources.fabel.dk -----------------------------  √
2026-04-01 11:39:35: st.technovision.dk -----------------------------  √
2026-04-01 11:39:37: tor.dan.me.uk -----------------------------  √
2026-04-01 11:39:40: tor.dnsbl.sectoor.de -----------------------------  √
2026-04-01 11:39:47: tor.efnet.org -----------------------------  √
2026-04-01 11:39:49: torexit.dan.me.uk -----------------------------  √
2026-04-01 11:39:52: truncate.gbudb.net -----------------------------  √
2026-04-01 11:39:54: ubl.unsubscore.com -----------------------------  √
2026-04-01 11:39:56: uribl.spameatingmonkey.net -----------------------------  √
2026-04-01 11:39:58: urired.spameatingmonkey.net -----------------------------  √
2026-04-01 11:40:00: virbl.dnsbl.bit.nl -----------------------------  √
2026-04-01 11:40:03: virus.rbl.jp -----------------------------  √
2026-04-01 11:40:05: virus.rbl.msrbl.net -----------------------------  √
2026-04-01 11:40:07: vote.drbl.caravan.ru -----------------------------  √
2026-04-01 11:40:10: vote.drbl.gremlin.ru ----------------------------- x   blacklisted (127.0.0.2)
2026-04-01 11:40:10: web.rbl.msrbl.net -----------------------------  √
