2026-03-29 09:59:03:  Start checking... 
2026-03-29 10:02:45: mail-abuse.blacklist.jippg.org -----------------------------  √
2026-03-29 10:02:47: netbl.spameatingmonkey.net -----------------------------  √
2026-03-29 10:02:49: netscan.rbl.blockedservers.com -----------------------------  √
2026-03-29 10:02:52: no-more-funn.moensted.dk -----------------------------  √
2026-03-29 10:02:54: noptr.spamrats.com -----------------------------  √
2026-03-29 10:03:00: orvedb.aupads.org -----------------------------  √
2026-03-29 10:03:10: pbl.spamhaus.org -----------------------------  √
2026-03-29 10:03:12: phishing.rbl.msrbl.net -----------------------------  √
2026-03-29 10:03:15: pofon.foobar.hu -----------------------------  √
2026-03-29 10:03:17: psbl.surriel.com -----------------------------  √
2026-03-29 10:03:19: rbl.abuse.ro -----------------------------  √
2026-03-29 10:03:22: rbl.blockedservers.com -----------------------------  √
2026-03-29 10:03:24: rbl.dns-servicios.com -----------------------------  √
2026-03-29 10:03:26: rbl.efnet.org -----------------------------  √
2026-03-29 10:03:28: rbl.efnetrbl.org -----------------------------  √
2026-03-29 10:03:30: rbl.iprange.net -----------------------------  √
2026-03-29 10:03:34: rbl.schulte.org -----------------------------  √
2026-03-29 10:03:36: rbl.talkactive.net -----------------------------  √
2026-03-29 10:03:38: rbl2.triumf.ca -----------------------------  √
2026-03-29 10:03:40: rsbl.aupads.org -----------------------------  √
2026-03-29 10:03:50: sbl-xbl.spamhaus.org -----------------------------  √
2026-03-29 10:03:52: sbl.nszones.com -----------------------------  √
2026-03-29 10:03:54: sbl.spamhaus.org -----------------------------  √
2026-03-29 10:03:56: short.rbl.jp -----------------------------  √
2026-03-29 10:04:03: spam.dnsbl.anonmails.de -----------------------------  √
2026-03-29 10:04:06: spam.pedantic.org -----------------------------  √
2026-03-29 10:04:08: spam.rbl.blockedservers.com -----------------------------  √
2026-03-29 10:04:10: spam.rbl.msrbl.net -----------------------------  √
2026-03-29 10:04:12: spam.spamrats.com -----------------------------  √
2026-03-29 10:04:19: spamrbl.imp.ch -----------------------------  √
2026-03-29 10:04:21: spamsources.fabel.dk -----------------------------  √
2026-03-29 10:04:23: st.technovision.dk -----------------------------  √
2026-03-29 10:04:25: tor.dan.me.uk -----------------------------  √
2026-03-29 10:04:28: tor.dnsbl.sectoor.de -----------------------------  √
2026-03-29 10:04:35: tor.efnet.org -----------------------------  √
2026-03-29 10:04:42: torexit.dan.me.uk -----------------------------  √
2026-03-29 10:04:45: truncate.gbudb.net -----------------------------  √
