2026-04-01 05:43:01:  Start checking... 
2026-04-01 05:47:18: netbl.spameatingmonkey.net -----------------------------  √
2026-04-01 05:47:20: netscan.rbl.blockedservers.com -----------------------------  √
2026-04-01 05:47:22: no-more-funn.moensted.dk -----------------------------  √
2026-04-01 05:47:24: noptr.spamrats.com -----------------------------  √
2026-04-01 05:47:31: orvedb.aupads.org -----------------------------  √
2026-04-01 05:47:43: pbl.spamhaus.org -----------------------------  √
2026-04-01 05:47:45: phishing.rbl.msrbl.net -----------------------------  √
2026-04-01 05:47:47: pofon.foobar.hu -----------------------------  √
2026-04-01 05:47:49: psbl.surriel.com -----------------------------  √
2026-04-01 05:47:52: rbl.abuse.ro -----------------------------  √
2026-04-01 05:47:54: rbl.blockedservers.com -----------------------------  √
2026-04-01 05:47:57: rbl.dns-servicios.com -----------------------------  √
2026-04-01 05:47:59: rbl.efnet.org -----------------------------  √
2026-04-01 05:48:01: rbl.efnetrbl.org -----------------------------  √
2026-04-01 05:48:03: rbl.iprange.net -----------------------------  √
2026-04-01 05:48:05: rbl.schulte.org -----------------------------  √
2026-04-01 05:48:07: rbl.talkactive.net -----------------------------  √
2026-04-01 05:48:09: rbl2.triumf.ca -----------------------------  √
2026-04-01 05:48:11: rsbl.aupads.org -----------------------------  √
2026-04-01 05:48:21: sbl-xbl.spamhaus.org -----------------------------  √
2026-04-01 05:48:23: sbl.nszones.com -----------------------------  √
2026-04-01 05:48:26: sbl.spamhaus.org -----------------------------  √
2026-04-01 05:48:28: short.rbl.jp -----------------------------  √
2026-04-01 05:48:30: spam.dnsbl.anonmails.de -----------------------------  √
2026-04-01 05:48:32: spam.pedantic.org -----------------------------  √
2026-04-01 05:48:34: spam.rbl.blockedservers.com -----------------------------  √
2026-04-01 05:48:37: spam.rbl.msrbl.net -----------------------------  √
2026-04-01 05:48:39: spam.spamrats.com -----------------------------  √
2026-04-01 05:48:45: spamrbl.imp.ch -----------------------------  √
2026-04-01 05:48:48: spamsources.fabel.dk -----------------------------  √
2026-04-01 05:48:50: st.technovision.dk -----------------------------  √
2026-04-01 05:48:52: tor.dan.me.uk -----------------------------  √
2026-04-01 05:48:55: tor.dnsbl.sectoor.de -----------------------------  √
2026-04-01 05:49:02: tor.efnet.org -----------------------------  √
2026-04-01 05:49:04: torexit.dan.me.uk -----------------------------  √
2026-04-01 05:49:07: truncate.gbudb.net -----------------------------  √
2026-04-01 05:49:09: ubl.unsubscore.com -----------------------------  √
2026-04-01 05:49:11: uribl.spameatingmonkey.net -----------------------------  √
2026-04-01 05:49:13: urired.spameatingmonkey.net -----------------------------  √
2026-04-01 05:49:15: virbl.dnsbl.bit.nl -----------------------------  √
2026-04-01 05:49:18: virus.rbl.jp -----------------------------  √
2026-04-01 05:49:20: virus.rbl.msrbl.net -----------------------------  √
2026-04-01 05:49:22: vote.drbl.caravan.ru -----------------------------  √
2026-04-01 05:49:24: vote.drbl.gremlin.ru -----------------------------  √
2026-04-01 05:49:27: web.rbl.msrbl.net -----------------------------  √
2026-04-01 05:49:29: work.drbl.caravan.ru -----------------------------  √
2026-04-01 05:49:31: work.drbl.gremlin.ru -----------------------------  √
2026-04-01 05:49:34: wormrbl.imp.ch -----------------------------  √
2026-04-01 05:49:36: xbl.spamhaus.org -----------------------------  √
2026-04-01 05:49:38: zen.spamhaus.org -----------------------------  √
---------------------------------------------------------------------------------------  
Results for mail.affiliategrowth.shop: 
Ip: 80.96.58.251 
Tested: 144 
Passed: 144 
Invalid: 0 
Blacklisted: 0 
---------------------------------------------------------------------------------------   
2026-04-01 05:49:40:  Check finished
